AnimalID,RecDate,NovelDay,DataY,StimCond,Environ,BehavT,TrialT
24,201113,1,0.929833381212295,None,1,Speed,AllTrials
24,201114,2,0.991799415590536,None,1,Speed,AllTrials
24,201115,3,0.969681939363878,None,1,Speed,AllTrials
24,201117,1,0.951299172593991,None,1,Speed,AllTrials
24,201118,2,0.953136094674556,None,1,Speed,AllTrials
24,201119,3,0.997029198732458,None,1,Speed,AllTrials
45,211007,1,0.883492982846959,None,1,Speed,AllTrials
45,211008,2,0.88196322336398,None,1,Speed,AllTrials
45,211010,3,0.8747,None,1,Speed,AllTrials
45,211012,1,0.969972299168975,None,1,Speed,AllTrials
45,211013,2,0.948389273064598,None,1,Speed,AllTrials
45,211014,3,0.892179930795848,None,1,Speed,AllTrials
46,211017,1,0.948518518518518,None,1,Speed,AllTrials
46,211018,2,0.85082518827111,None,1,Speed,AllTrials
46,211019,3,0.8507068304928,None,1,Speed,AllTrials
46,211020,1,0.782222222222222,None,1,Speed,AllTrials
46,211021,2,0.936804733727811,None,1,Speed,AllTrials
46,211022,3,0.8674,None,1,Speed,AllTrials
47,211017,1,0.971876690102758,None,1,Speed,AllTrials
47,211018,2,0.965485756026297,None,1,Speed,AllTrials
47,211019,3,0.91837107377648,None,1,Speed,AllTrials
47,211020,1,0.957734573119189,None,1,Speed,AllTrials
47,211021,2,0.871244012193352,None,1,Speed,AllTrials
47,211022,3,0.929387755102041,None,1,Speed,AllTrials
11,200130,1,0.585026780088217,None,2,Speed,AllTrials
11,200131,2,0.782300066359669,None,2,Speed,AllTrials
11,200201,3,0.759391955312379,None,2,Speed,AllTrials
11,200203,1,0.556828223397949,None,2,Speed,AllTrials
11,200204,2,0.789808837668094,None,2,Speed,AllTrials
11,200205,3,0.82777408942103,None,2,Speed,AllTrials
18,200814,1,0.55417899408284,None,2,Speed,AllTrials
18,200815,2,0.659891427850019,None,2,Speed,AllTrials
18,200816,3,0.672607709750567,None,2,Speed,AllTrials
18,200818,1,0.532958579881657,None,2,Speed,AllTrials
18,200819,2,0.509510885391793,None,2,Speed,AllTrials
18,200820,3,0.641545211183819,None,2,Speed,AllTrials
21,201010,1,0.569504268149424,None,2,Speed,AllTrials
21,201011,2,0.558567596896051,None,2,Speed,AllTrials
21,201012,3,0.748512199960326,None,2,Speed,AllTrials
21,201014,1,0.734387755102041,None,2,Speed,AllTrials
21,201015,2,0.897476150223403,None,2,Speed,AllTrials
21,201016,3,0.775958229500415,None,2,Speed,AllTrials
24,201113,1,0.623769043009848,None,2,Speed,AllTrials
24,201114,2,0.774059994730701,None,2,Speed,AllTrials
24,201115,3,0.916476987770533,None,2,Speed,AllTrials
24,201117,1,0.623548437815862,None,2,Speed,AllTrials
24,201118,2,0.724843935790726,None,2,Speed,AllTrials
24,201119,3,0.86388723643334,None,2,Speed,AllTrials
45,211007,1,0.783068368705458,None,2,Speed,AllTrials
45,211008,2,0.915416666666667,None,2,Speed,AllTrials
45,211010,3,0.457900807381776,None,2,Speed,AllTrials
45,211012,1,0.500033049110979,None,2,Speed,AllTrials
45,211013,2,0.606858710562414,None,2,Speed,AllTrials
45,211014,3,0.655133928571429,None,2,Speed,AllTrials
46,211017,1,0.644444444444444,None,2,Speed,AllTrials
46,211018,2,0.8519,None,2,Speed,AllTrials
46,211019,3,0.864926006221133,None,2,Speed,AllTrials
46,211020,1,0.623958632576846,None,2,Speed,AllTrials
46,211021,2,0.7449609473419,None,2,Speed,AllTrials
46,211022,3,0.700605802954618,None,2,Speed,AllTrials
47,211017,1,0.647233789411065,None,2,Speed,AllTrials
47,211018,2,0.877712031558185,None,2,Speed,AllTrials
47,211019,3,0.967954123798279,None,2,Speed,AllTrials
47,211020,1,0.942923553719009,None,2,Speed,AllTrials
47,211021,2,0.984399092970522,None,2,Speed,AllTrials
47,211022,3,0.837551652892562,None,2,Speed,AllTrials
57,220405,3,0.520059171597633,Goal,1,Lickrate,AllTrials
61,220908,3,0.661,Goal,1,Lickrate,AllTrials
63,221009,3,0.692501575299307,Goal,1,Lickrate,AllTrials
62,221013,3,0.58965812350795,Goal,1,Lickrate,AllTrials
65,221023,3,0.593233579712758,Goal,1,Lickrate,AllTrials
4,230430,3,0.524238227146814,Goal,1,Lickrate,AllTrials
