AnimalID,RecDate,NovelDay,DataY,Environ,CellType
24,201114,2,0.333333333333333,2,Narrow Interneuron
24,201118,2,0.833333333333333,2,Narrow Interneuron
45,211008,2,0.666666666666667,2,Narrow Interneuron
45,211013,2,0.428571428571429,2,Narrow Interneuron
46,211018,2,0.5,2,Narrow Interneuron
46,211021,2,0.714285714285714,2,Narrow Interneuron
47,211018,2,0,2,Narrow Interneuron
47,211021,2,0.75,2,Narrow Interneuron
11,200201,3,0.25,2,Narrow Interneuron
11,200205,3,0.8,2,Narrow Interneuron
18,200816,3,0.5,2,Narrow Interneuron
18,200820,3,0,2,Narrow Interneuron
21,201012,3,1,2,Narrow Interneuron
21,201016,3,0,2,Narrow Interneuron
24,201115,3,0.428571428571429,2,Narrow Interneuron
24,201119,3,1,2,Narrow Interneuron
45,211010,3,0,2,Narrow Interneuron
45,211014,3,0.5,2,Narrow Interneuron
46,211019,3,0.5,2,Narrow Interneuron
46,211022,3,0.25,2,Narrow Interneuron
47,211019,3,0,2,Narrow Interneuron
47,211022,3,0.3,2,Narrow Interneuron
11,200203,1,0.368421052631579,1,Pyramidal Cell
18,200814,1,0,1,Pyramidal Cell
18,200818,1,0.25,1,Pyramidal Cell
21,201010,1,0.625,1,Pyramidal Cell
21,201014,1,0.2,1,Pyramidal Cell
24,201113,1,0.125,1,Pyramidal Cell
24,201117,1,0.272727272727273,1,Pyramidal Cell
45,211007,1,0.0588235294117647,1,Pyramidal Cell
45,211012,1,0.222222222222222,1,Pyramidal Cell
46,211017,1,0.163265306122449,1,Pyramidal Cell
46,211020,1,0.24,1,Pyramidal Cell
47,211017,1,0.333333333333333,1,Pyramidal Cell
47,211020,1,0.24,1,Pyramidal Cell
11,200131,2,0.666666666666667,1,Pyramidal Cell
11,200204,2,0.130434782608696,1,Pyramidal Cell
18,200815,2,0.125,1,Pyramidal Cell
18,200819,2,0.13953488372093,1,Pyramidal Cell
21,201011,2,0.0952380952380952,1,Pyramidal Cell
21,201015,2,0.272727272727273,1,Pyramidal Cell
24,201114,2,0.227272727272727,1,Pyramidal Cell
24,201118,2,0.24,1,Pyramidal Cell
45,211008,2,0.111111111111111,1,Pyramidal Cell
45,211013,2,0.142857142857143,1,Pyramidal Cell
46,211018,2,0.27906976744186,1,Pyramidal Cell
46,211021,2,0.269230769230769,1,Pyramidal Cell
47,211018,2,0.303030303030303,1,Pyramidal Cell
47,211021,2,0.27027027027027,1,Pyramidal Cell
11,200201,3,0.212121212121212,1,Pyramidal Cell
11,200205,3,0.277777777777778,1,Pyramidal Cell
18,200816,3,0.235294117647059,1,Pyramidal Cell
18,200820,3,0.230769230769231,1,Pyramidal Cell
21,201012,3,0.192307692307692,1,Pyramidal Cell
21,201016,3,0.2,1,Pyramidal Cell
24,201115,3,0.269230769230769,1,Pyramidal Cell
24,201119,3,0.291666666666667,1,Pyramidal Cell
45,211010,3,0.1875,1,Pyramidal Cell
45,211014,3,0.296296296296296,1,Pyramidal Cell
46,211019,3,0.361111111111111,1,Pyramidal Cell
46,211022,3,0.257142857142857,1,Pyramidal Cell
47,211019,3,0.315789473684211,1,Pyramidal Cell
47,211022,3,0.125,1,Pyramidal Cell
11,200203,1,0.157894736842105,2,Pyramidal Cell
18,200814,1,0,2,Pyramidal Cell
18,200818,1,0.0833333333333333,2,Pyramidal Cell
21,201010,1,0.166666666666667,2,Pyramidal Cell
21,201014,1,0.2,2,Pyramidal Cell
24,201113,1,0.125,2,Pyramidal Cell
24,201117,1,0.159090909090909,2,Pyramidal Cell
45,211007,1,0.147058823529412,2,Pyramidal Cell
45,211012,1,0.0555555555555556,2,Pyramidal Cell
46,211017,1,0.0408163265306122,2,Pyramidal Cell
46,211020,1,0.04,2,Pyramidal Cell
47,211017,1,0.0666666666666667,2,Pyramidal Cell
47,211020,1,0.2,2,Pyramidal Cell
11,200131,2,0.666666666666667,2,Pyramidal Cell
11,200204,2,0.0869565217391304,2,Pyramidal Cell
18,200815,2,0.0625,2,Pyramidal Cell
18,200819,2,0.232558139534884,2,Pyramidal Cell
21,201011,2,0.142857142857143,2,Pyramidal Cell
21,201015,2,0.181818181818182,2,Pyramidal Cell
24,201114,2,0.181818181818182,2,Pyramidal Cell
24,201118,2,0.36,2,Pyramidal Cell
45,211008,2,0.111111111111111,2,Pyramidal Cell
45,211013,2,0.142857142857143,2,Pyramidal Cell
46,211018,2,0.209302325581395,2,Pyramidal Cell
46,211021,2,0.230769230769231,2,Pyramidal Cell
47,211018,2,0.121212121212121,2,Pyramidal Cell
47,211021,2,0.243243243243243,2,Pyramidal Cell
11,200201,3,0.0909090909090909,2,Pyramidal Cell
11,200205,3,0.222222222222222,2,Pyramidal Cell
18,200816,3,0.176470588235294,2,Pyramidal Cell
18,200820,3,0.192307692307692,2,Pyramidal Cell
21,201012,3,0.269230769230769,2,Pyramidal Cell
21,201016,3,0,2,Pyramidal Cell
24,201115,3,0.230769230769231,2,Pyramidal Cell
24,201119,3,0.0833333333333333,2,Pyramidal Cell
45,211010,3,0.03125,2,Pyramidal Cell
45,211014,3,0.037037037037037,2,Pyramidal Cell
46,211019,3,0.277777777777778,2,Pyramidal Cell
46,211022,3,0.0857142857142857,2,Pyramidal Cell
47,211019,3,0.263157894736842,2,Pyramidal Cell
47,211022,3,0.09375,2,Pyramidal Cell
