resFR,isCorrect,AnimalID,RecDate,NovelDay,CellID,CellType
-0.062213683676453,1,45,211013,2,247,2
0.609317293441821,1,45,211013,2,263,2
-0.0344312654789344,1,45,211013,2,266,2
0.551049453665643,1,45,211014,3,6,2
-0.140406584885486,1,45,211014,3,86,2
-0.0669038506280073,1,45,211014,3,124,2
-0.0479077286360742,1,45,211014,3,127,2
-0.26639076951775,1,45,211014,3,131,2
0.765414488184089,1,45,211014,3,145,2
0.73741155332672,1,45,211014,3,168,2
0.69443153495227,1,45,211014,3,176,2
-0.0299314265075141,1,45,211014,3,181,2
0.471740827495179,1,45,211014,3,184,2
0.236678019418112,1,45,211014,3,190,2
-0.0380887721565183,1,45,211014,3,192,2
0.886700076855066,1,45,211014,3,197,2
-0.0345099269045483,1,45,211014,3,205,2
-0.42936169106858,1,45,211014,3,208,2
0.98917974880391,1,45,211014,3,214,2
0.00681588642976366,1,45,211014,3,217,2
0.679141668238117,1,45,211014,3,221,2
0.071781395463981,1,45,211014,3,228,2
0.101778097512004,1,45,211014,3,229,2
0.72750687833933,1,45,211014,3,230,2
0.35055991576494,1,45,211014,3,235,2
0.112661948198138,1,45,211014,3,236,2
0.73186145974215,1,45,211014,3,237,2
0.109877246158331,1,45,211014,3,238,2
0.286070398868245,1,45,211014,3,239,2
0.183276584426241,1,45,211014,3,245,2
0.535399590906629,1,46,211017,1,5,2
0.0897075302827052,1,46,211017,1,7,2
0.122305307624759,1,46,211017,1,12,2
-0.276288817649054,1,46,211017,1,15,2
0.890867216331965,1,46,211017,1,20,2
0.381206819564765,1,46,211017,1,25,2
0.168244350192515,1,46,211017,1,36,2
0.338254455589326,1,46,211017,1,45,2
0.246101701153364,1,46,211017,1,50,2
0.489726096130701,1,46,211017,1,66,2
0.228449803013897,1,46,211017,1,80,2
-0.495096833176894,1,46,211017,1,82,2
0.0244730635149438,1,46,211017,1,84,2
-0.0166451371106101,1,46,211017,1,85,2
0.182901011864915,1,46,211017,1,96,2
0.503404215728327,1,46,211017,1,126,2
-0.0325643214706528,1,46,211017,1,132,2
0.435359907266645,1,46,211017,1,134,2
0.910243295101744,1,46,211017,1,136,2
-0.435872369109191,1,46,211017,1,140,2
-0.0332847937627477,1,46,211017,1,148,2
0.821049061103273,1,46,211017,1,150,2
0.557466207488442,1,46,211017,1,168,2
-0.409235732355546,1,46,211017,1,174,2
0.526529225751088,1,46,211017,1,176,2
0.225345419925736,1,46,211017,1,178,2
-0.0478508640423061,1,46,211017,1,182,2
0.367113199642372,1,46,211017,1,188,2
-0.0135415899963147,1,46,211017,1,194,2
0.201132219538854,1,46,211017,1,196,2
-0.109152687577904,1,46,211017,1,205,2
-0.125110912879593,1,46,211017,1,207,2
-0.0388341602908113,1,46,211017,1,219,2
0.123898347919047,1,46,211017,1,236,2
0.557339843845938,1,46,211017,1,237,2
0.0528280147128521,1,46,211017,1,238,2
-0.522299472555926,1,46,211017,1,266,2
0.322658669632417,1,46,211017,1,277,2
0.405243122374485,1,46,211017,1,289,2
-0.0330375281059945,1,46,211017,1,291,2
-0.180506856298229,1,46,211017,1,293,2
0.0266996160464431,1,46,211017,1,296,2
0.828993182640262,1,46,211017,1,298,2
0.78254148227404,1,46,211017,1,305,2
-0.19678943130471,1,46,211017,1,307,2
-0.205299447520455,1,46,211017,1,310,2
0.751307407416628,1,46,211017,1,311,2
0.905395863007801,1,46,211017,1,315,2
-0.614452760457159,1,46,211017,1,319,2
-0.0122517895994805,1,46,211018,2,11,2
-0.171007802446994,1,46,211018,2,14,2
0.0368737374137535,1,46,211018,2,20,2
-0.314636243160679,1,46,211018,2,39,2
-0.178039870419864,1,46,211018,2,44,2
0.742320511390567,1,46,211018,2,48,2
0.279358554351117,1,46,211018,2,55,2
0.295791200216597,1,46,211018,2,63,2
-0.157521655677924,1,46,211018,2,71,2
0.206429901258009,1,46,211018,2,73,2
0.772515085981675,1,46,211018,2,81,2
0.352823438296368,1,46,211018,2,105,2
0.612776764579364,1,46,211018,2,109,2
0.80427335080485,1,46,211018,2,121,2
0.414435611427971,1,46,211018,2,132,2
-0.12191664317201,1,46,211018,2,142,2
0.612683770021581,1,46,211018,2,144,2
0.372781377998631,1,46,211018,2,146,2
0.279875817992022,1,46,211018,2,150,2
-0.136444891785712,1,46,211018,2,156,2
0.110316042056669,1,46,211018,2,160,2
0.278369490703792,1,46,211018,2,164,2
0.368921568914631,1,46,211018,2,172,2
-0.229197621490894,1,46,211018,2,178,2
0.488795415728713,1,46,211018,2,182,2
-0.510934925420826,1,46,211018,2,184,2
-0.0190820387607732,1,46,211018,2,186,2
-0.167588290439116,1,46,211018,2,200,2
-0.464968584061814,1,46,211018,2,206,2
0.123873688229641,1,46,211018,2,214,2
0.91110212713607,1,46,211018,2,228,2
0.256741912737506,1,46,211018,2,244,2
0.453621714174234,1,46,211018,2,258,2
0.657676772244359,1,46,211018,2,259,2
-0.0413550970849824,1,46,211018,2,274,2
-0.565136250902557,1,46,211018,2,275,2
-0.0196882948661392,1,46,211018,2,278,2
-0.165196907396745,1,46,211018,2,279,2
0.126743858975551,1,46,211018,2,280,2
-0.262931347252786,1,46,211018,2,282,2
0.0909780930530725,1,46,211018,2,286,2
0.63616099915167,1,46,211018,2,287,2
-0.165635323622152,1,46,211018,2,291,2
-0.121699644180195,1,46,211019,3,99,2
-0.0173237402356095,1,46,211019,3,192,2
0.351294997480777,1,46,211019,3,202,2
0.264466873054295,1,46,211019,3,216,2
-0.0164531760510907,1,46,211019,3,249,2
-0.0114460440397879,1,46,211019,3,259,2
-0.581505084865398,1,46,211019,3,261,2
-0.0376704447916706,1,46,211019,3,295,2
-0.453822851084246,1,46,211019,3,311,2
0.486368333790043,1,46,211019,3,315,2
-0.512942768337837,1,46,211019,3,319,2
0.0899651795767384,1,46,211019,3,332,2
-0.47440993908985,1,46,211019,3,342,2
0.386835947737394,1,46,211019,3,348,2
0.781315825300474,1,46,211019,3,374,2
-0.306707711756043,1,46,211019,3,388,2
0.372356421712665,1,46,211019,3,406,2
-0.125603195285596,1,46,211019,3,409,2
-0.132046466613955,1,46,211019,3,419,2
-0.806199583106228,1,46,211019,3,427,2
