AnimalID,RecDate,NovelDay,rawAUC,normAUC,StimCond,Environ,BehavT,TrialT
57,220330,2,0.653220663265306,9.20954007679318,Goal,2,Speed,ShortStim
57,220331,3,0.57312925170068,-0.183884994120665,Goal,2,Speed,ShortStim
63,221007,1,0.766805472932778,0,Goal,2,Speed,ShortStim
62,221008,1,0.513031550068587,0,Goal,2,Speed,ShortStim
63,221008,2,0.524219103666818,-13.3239026187809,Goal,2,Speed,ShortStim
62,221009,2,0.556069775720897,-21.4612184029734,Goal,2,Speed,ShortStim
63,221009,3,0.765010054582017,-15.9038595777192,Goal,2,Speed,ShortStim
62,221010,3,0.74317570165321,13.7710031918217,Goal,2,Speed,ShortStim
65,221018,1,0.772727272727273,0,Goal,2,Speed,ShortStim
65,221019,2,0.722107438016529,-31.635972593955,Goal,2,Speed,ShortStim
65,221020,3,0.576297616395634,-0.234142610366968,Goal,2,Speed,ShortStim
4,230428,1,0.588375322356675,0,Goal,2,Speed,ShortStim
4,230429,2,0.642561983471074,-6.55080213903744,Goal,2,Speed,ShortStim
4,230430,3,0.587293388429752,-25.4203084664474,Goal,2,Speed,ShortStim
57,220403,1,0.596364883401921,0,Sham,2,Speed,ShortStim
57,220404,2,0.872763920382968,46.3473025783056,Sham,2,Speed,ShortStim
57,220405,3,0.955047380374344,60.1448051277508,Sham,2,Speed,ShortStim
61,220906,1,0.656588561350466,0,Sham,2,Speed,ShortStim
61,220907,2,0.915035401915868,39.3620686954751,Sham,2,Speed,ShortStim
61,220908,3,0.89255960930767,35.9389520085243,Sham,2,Speed,ShortStim
62,221011,1,0.514133333333333,0,Sham,2,Speed,ShortStim
62,221012,2,0.708506841165973,37.8060505379874,Sham,2,Speed,ShortStim
62,221013,3,0.87235841081995,69.6755207767018,Sham,2,Speed,ShortStim
63,221004,1,0.5986328125,0,Sham,2,Speed,ShortStim
63,221005,2,0.834155161078238,39.3433743791379,Sham,2,Speed,ShortStim
63,221006,3,0.929043378339558,55.1941956639,Sham,2,Speed,ShortStim
65,221021,1,0.903055555555556,0,Sham,2,Speed,ShortStim
65,221022,2,0.92292269993317,2.19999137986501,Sham,2,Speed,ShortStim
65,221023,3,0.892164273116654,-1.20604788619028,Sham,2,Speed,ShortStim
11,200130,1,0.872764003673095,0,None,1,Speed,AllTrials
11,200131,2,0.938578696045691,7.5409494543325,None,1,Speed,AllTrials
11,200201,3,0.848344606621573,-2.7979381538137,None,1,Speed,AllTrials
11,200203,1,0.741590057533629,0,None,1,Speed,AllTrials
11,200204,2,0.899297052154194,21.2660610830011,None,1,Speed,AllTrials
11,200205,3,0.879629837604726,18.6140278808736,None,1,Speed,AllTrials
18,200814,1,0.777659111585776,0,None,1,Speed,AllTrials
18,200815,2,0.933049779458097,19.9818488020354,None,1,Speed,AllTrials
18,200816,3,0.727780292741814,-6.41396957881077,None,1,Speed,AllTrials
18,200818,1,0.93276146837871,0,None,1,Speed,AllTrials
18,200819,2,0.908816568047337,-2.56709792836881,None,1,Speed,AllTrials
18,200820,3,0.890553451297416,-4.5250601050939,None,1,Speed,AllTrials
21,201010,1,0.988507231404959,0,None,1,Speed,AllTrials
21,201011,2,0.920561224489796,-6.87359735533667,None,1,Speed,AllTrials
21,201012,3,0.983427467300832,-0.513882341245662,None,1,Speed,AllTrials
21,201014,1,0.984608420099593,0,None,1,Speed,AllTrials
21,201015,2,0.987840512772175,0.32826173396476,None,1,Speed,AllTrials
21,201016,3,0.976258739500025,-0.848020434227342,None,1,Speed,AllTrials
24,201113,1,0.929833381212295,0,None,1,Speed,AllTrials
24,201114,2,0.991799415590536,6.66420840876363,None,1,Speed,AllTrials
24,201115,3,0.969681939363878,4.28555899978867,None,1,Speed,AllTrials
24,201117,1,0.951299172593991,0,None,1,Speed,AllTrials
24,201118,2,0.953136094674556,0.193096150347396,None,1,Speed,AllTrials
