DataY,AnimalID,RecDate,NovelDay,CellID,CellType,StimCond,Environ,GoalMod
0.822769087735816,4,230430,3,24,3,2,1,0
0.479157612646873,4,230430,3,25,3,2,1,1
0.835238413897674,4,230430,3,26,3,2,1,1
0.177942694014466,4,230430,3,27,3,2,1,0
0.963570512241393,4,230430,3,28,3,2,1,0
0.278420729386806,4,230430,3,29,3,2,1,0
0.599722125482527,4,230430,3,30,3,2,1,1
0.800288399533441,4,230430,3,31,3,2,1,0
0.445820497230616,4,230430,3,32,3,2,1,1
0.552794649195322,11,200130,1,1,1,0,1,0
0.244464651632813,11,200130,1,2,1,0,1,0
0.505240979715016,11,200130,1,3,1,0,1,0
0.26671630616238,11,200130,1,4,1,0,1,0
0.424118033232631,11,200130,1,5,3,0,1,0
0.353362595507146,11,200130,1,6,3,0,1,0
0.199998882692341,11,200130,1,7,1,0,1,0
0.340312423587705,11,200130,1,8,1,0,1,0
0.178493967612781,11,200130,1,9,3,0,1,0
0.20711128229078,11,200130,1,10,2,0,1,0
0.384841037205456,11,200131,2,1,1,0,1,0
0.436947191814037,11,200131,2,2,1,0,1,1
0.653432757739002,11,200131,2,3,3,0,1,1
0.568423992274976,11,200131,2,4,1,0,1,1
0.465270443810802,11,200131,2,5,1,0,1,1
0.425346349184328,11,200131,2,6,3,0,1,1
0.370543530529278,11,200131,2,7,3,0,1,0
0.248477213505831,11,200131,2,8,1,0,1,0
0.195826924553516,11,200201,3,1,1,0,1,1
0.440438450097076,11,200201,3,2,1,0,1,0
0.467895296016918,11,200201,3,3,3,0,1,1
0.183857576180488,11,200201,3,4,1,0,1,0
0.479804062569489,11,200201,3,5,3,0,1,0
0.705546605350047,11,200201,3,6,1,0,1,0
0.492671952723848,11,200201,3,7,1,0,1,1
0.264119748771524,11,200201,3,8,3,0,1,0
0.261283215020142,11,200201,3,9,3,0,1,0
0.466319201675193,11,200201,3,10,1,0,1,1
0.511201030619716,11,200201,3,11,3,0,1,1
0.424464477568218,11,200201,3,12,2,0,1,1
0.757658522080757,11,200201,3,13,1,0,1,0
0.0992222304629975,11,200201,3,14,3,0,1,0
0.220930705997181,11,200201,3,15,2,0,1,1
0.160057032749879,11,200201,3,16,3,0,1,0
0.17224270435152,11,200201,3,17,3,0,1,0
0.257900678699803,11,200201,3,18,3,0,1,1
0.470691200501425,11,200201,3,19,3,0,1,0
0.365624079852355,11,200201,3,20,3,0,1,1
0.445208023890514,11,200201,3,21,3,0,1,1
0.468034092531569,11,200201,3,22,3,0,1,1
0.202240623879173,11,200201,3,23,3,0,1,0
0.187677869278114,11,200201,3,24,3,0,1,1
0.121573927826363,11,200201,3,25,3,0,1,1
0.189531143799455,11,200201,3,26,3,0,1,1
0.342610077314237,11,200201,3,27,3,0,1,1
0.0599583812955819,11,200201,3,28,3,0,1,0
0.199797431756951,11,200201,3,29,3,0,1,1
0.388235127208738,11,200201,3,30,1,0,1,1
0.32389839552945,11,200201,3,31,3,0,1,0
0.317796816503806,11,200201,3,32,3,0,1,1
